model,roc_auc,pr_auc
rf_baseline,0.9487087366547492,0.8387398819159403
rf_hybrid_if_feature,0.949198229795154,0.8416685314189921
lgbm_baseline,0.9720095023091792,0.860956722096733
lgbm_hybrid_if_feature,0.9812454183293362,0.8541392582232222
