model,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
rf_baseline,0.9572770297655422,0.005805139718120663,0.8537800216987133,0.025549094378672952
rf_hybrid_if_feature,0.9584308831434127,0.006722641336475583,0.853647929853486,0.024025856523326988
lgbm_baseline,0.9755881188582844,0.00886944892228294,0.8530383559210687,0.03073403906546495
lgbm_hybrid_if_feature,0.9765077718487041,0.010389888102843643,0.8521364373177299,0.03255734712263002
