fold,train_rows,val_rows,val_fraud_rate,roc_auc,pr_auc
1,118108,118108,0.04006502523114438,0.856433689610125,0.5097937930090607
2,236216,118108,0.03750804348562333,0.879569505597709,0.5354300496607556
3,354324,118108,0.03904053916754157,0.9139856848046337,0.574271704398643
4,472432,118107,0.03440947615297992,0.9077089669295896,0.5331459235007123
