model,roc_auc,pr_auc
rf_baseline,0.9451907049710756,0.713816793679948
rf_hybrid_if_feature,0.9375211077338736,0.7023062050206006
lgbm_baseline,0.9220838644311533,0.7214371749269554
lgbm_hybrid_if_feature,0.9089780043795144,0.7153664470125614
