model,contamination,if_numeric_only_k,roc_auc,pr_auc
lgbm_if_feature,0.005,432.0,0.9539718367315695,0.7246130710337613
lgbm_if_feature,0.01,432.0,0.9539718367315695,0.7246130710337613
lgbm_if_feature,0.02,432.0,0.9539718367315695,0.7246130710337613
lgbm_if_feature,0.05,432.0,0.9539718367315695,0.7246130710337613
lgbm_lof_partial,,,0.9538619606661909,0.7249858680497062
