precision,recall,threshold
0.03454465404544993,1.0,0.0028833169093762548
0.03454488803392172,1.0,0.004037158334878164
0.03454512202556339,1.0,0.004160028323597097
0.03454582401950823,1.0,0.005488598426979008
0.034546058023830005,1.0,0.005544694434319671
0.034546994072819644,1.0,0.005737838606987008
0.03454769614285134,1.0,0.005803922993854193
0.03454793017253643,1.0,0.0058607085957059395
0.03454839824141879,1.0,0.005965485932669084
0.03454886632298448,1.0,0.006381403102273219
0.03454910036852374,1.0,0.0064471162223383865
0.03454933441723402,1.0,0.0065282241595894476
0.034549568469115395,1.0,0.00661673959597094
0.03454980252416793,1.0,0.006836654318453644
0.034550036582391676,1.0,0.007030137636449929
0.034550504708353094,1.0,0.0071892786990878504
0.03455073877609089,1.0,0.007245374706428514
0.03455425017277125,1.0,0.007526313040464193
0.03455448429126043,1.0,0.008033516025490125
0.03455565493129523,1.0,0.00814779649444723
0.03455588906882043,1.0,0.00835867395934371
0.034556123209518515,1.0,0.008412559095515021
0.03455659150043365,1.0,0.00869630133373439
0.034557762283251685,1.0,0.008737717029368609
0.034558230618592325,1.0,0.008839544074628948
0.03455869896662714,1.0,0.009021459267587977
0.03455916732735663,1.0,0.00928630308852507
0.03455940151248204,1.0,0.009296077552319877
0.03455963570078132,1.0,0.009337200796855752
0.03455986989225452,1.0,0.009511211892164272
0.03456104089723173,1.0,0.00952585834843022
0.03456127510774986,1.0,0.00973692747367313
0.03456150932144237,1.0,0.00979215022619995
0.034561977758350786,1.0,0.009836369826017858
0.03456221198156682,1.0,0.009947331215621734
0.034562446207957495,1.0,0.010006728463715456
0.03456268043752287,1.0,0.010086689084483489
0.03456291467026302,1.0,0.010188643656674485
0.03456338314526786,1.0,0.010331886397569044
0.0345636173875327,1.0,0.010416666666666666
0.034563851632972556,1.0,0.010463261941406385
0.03456455438834293,1.0,0.01067839628125078
0.03456478864648354,1.0,0.010788419875259971
0.034565022907799496,1.0,0.011003554215104365
0.034565491439957706,1.0,0.01111451560470824
0.0345657257108001,1.0,0.011329649944552635
0.03456595998481809,1.0,0.011337005934416432
0.034566194262011754,1.0,0.011779184605643657
0.03456642854238115,1.0,0.012024998738915023
0.03456666282592635,1.0,0.012111332089431019
0.03456689711264742,1.0,0.012623467466082477
0.034569005836061574,1.0,0.012904405800118158
0.034569474476204676,1.0,0.012948625399936063
0.03456994312905434,1.0,0.013074425347722012
0.03457088047287542,1.0,0.013274721129384333
0.034571114816773094,1.0,0.013355363681757692
0.034571583514099787,1.0,0.013399583281575598
0.03457228658391914,1.0,0.013725679011023867
0.03457252094688034,1.0,0.013790651855168985
0.034572989682335235,1.0,0.014071590189204666
0.03457369280934981,1.0,0.014115809789022571
0.03457416157658177,1.0,0.014195385905315112
0.03457439596496461,1.0,0.014223041631679506
0.03457463035652545,1.0,0.014520543839168698
0.0345753335502766,1.0,0.014548199565533092
0.03457556795455008,1.0,0.014566767670662105
0.03457603677263205,1.0,0.014892863400110375
0.03457627118644068,1.0,0.01536257029440162
0.03457650560342782,1.0,0.015687728228255208
0.03457674002359354,1.0,0.01680023716644927
0.03457697444693791,1.0,0.017352118512379573
0.03457744330316282,1.0,0.017777850690115272
0.0345776777360435,1.0,0.018003372175681428
0.034577912172103084,1.0,0.01810300862396886
0.034578146611341634,1.0,0.01851930290146608
0.03457838105375921,1.0,0.018844460835319665
0.03457884994813173,1.0,0.019270193013055367
0.034579318855221135,1.0,0.022426521799693552
0.03457955331353484,1.0,0.02307777546299541
0.034579787775027966,1.0,0.024127202071802398
0.03458119461075814,1.0,0.024408140405838077
0.03458166358143982,1.0,0.024452360005655982
0.0345821325648415,1.0,0.025294386460888902
0.03458283606379516,1.0,0.025451570449960506
0.034583070569806945,1.0,0.02557532479492458
0.03458330507899912,1.0,0.025619544394742486
0.03458494673240067,1.0,0.02594564012419076
0.03458541580485688,1.0,0.026168130453898954
0.03458588489003723,1.0,0.02673205333293655
0.03458611943739912,1.0,0.02690691020244868
0.03458635398794225,1.0,0.027141866703114092
0.034586588541666664,1.0,0.030178326474622773
0.034586823098572445,1.0,0.031879006746731615
0.03458705765865965,1.0,0.03200371057513915
0.03458729222192834,1.0,0.0321599450807673
0.034587761358010456,1.0,0.0322041646805852
0.03458799593082401,1.0,0.032254321439120104
0.034588699668355406,1.0,0.032284648909174825
0.03458893425389634,1.0,0.032328868508992734
0.03458916884261928,1.0,0.03290557510242196
0.034589403434524296,1.0,0.033178963140460836
0.034589638029611444,1.0,0.0333271294698538
0.03459034183396636,1.0,0.03342150582820661
0.03459315733781914,1.0,0.03345183329826133
0.03459339198382928,1.0,0.03349605289807924
0.03459362663302267,1.0,0.03370244416224229
0.0345943305997029,1.0,0.033746663762060196
0.03459597330004884,1.0,0.03382214862752751
0.03459620798426212,1.0,0.03407275949150847
0.03459667736224078,1.0,0.03429524982121666
0.0345969120560063,1.0,0.03448385800786577
0.03459714675295602,1.0,0.034495263342383765
0.03459738145309002,1.0,0.03473742849244388
0.0345978508629111,1.0,0.03474587420636472
0.03459808557259832,1.0,0.03485917270025426
0.03459832028547006,1.0,0.044303797468354424
0.03459855500152641,1.0,0.04600447774046327
0.03459902444319315,1.0,0.04628541607449895
0.034599493897599067,1.0,0.04632963567431686
0.03459996336474467,1.0,0.04665573140376513
0.034600198103095024,1.0,0.046878221733473315
0.03460043284463049,1.0,0.046929119441804
0.03460066758935114,1.0,0.04708409185270352
0.03460090233725703,1.0,0.047171662129549784
0.03460278043518085,1.0,0.04733539699396061
0.034603015211756884,1.0,0.04740924978655711
0.034603484774466696,1.0,0.04744214461251092
0.03460371956060061,1.0,0.04745260046358546
0.03460442393811915,1.0,0.04749682006340337
0.034607476572095515,1.0,0.04782291579285164
0.03460771141240177,1.0,0.04785195798268846
0.03460794625589523,1.0,0.04849603050770789
0.03460841595244397,1.0,0.04853221457582571
0.03460888566174225,1.0,0.04857643417564362
0.03460959024959622,1.0,0.04890252990509189
0.03461005999077065,1.0,0.04901914237177497
0.0346102948661396,1.0,0.04917591794313076
0.034610529744696444,1.0,0.04956719890602731
0.03461076462644127,1.0,0.049575644619948143
0.03461099951137413,1.0,0.0521511307225593
0.03461240888792366,1.0,0.052476288656412885
0.034612878705614074,1.0,0.05261215424099177
0.03461311361924218,1.0,0.05331831511164581
0.0346135834560645,1.0,0.05347549910071741
0.03461381837925886,1.0,0.0536434730454994
0.03461428823521427,1.0,0.054192059104655854
0.034614523167975454,1.0,0.05793256433007987
0.03461569787961882,1.0,0.05821350266411555
0.03461663770634231,1.0,0.05825772226393346
0.03461781256151449,1.0,0.05858381799338173
0.0346182825259128,1.0,0.05908172076961255
