threshold,precision,recall,f1,cost,TP,FP,FN,TN,f_beta_0.5,f_beta_1.0,f_beta_2.0
0.001,0.03454465404544993,1.0,0.06678233541755328,142535.0,5100,142535,0,0,0.042811093949365386,0.06678233541755328,0.1517540988484542
0.003004016064257028,0.03454488803392172,1.0,0.06678277266358505,142534.0,5100,142534,0,1,0.04281138144772982,0.06678277266358505,0.15175500196388825
0.005008032128514056,0.03454582401950823,1.0,0.06678452170496955,142530.0,5100,142530,0,5,0.04281253147980256,0.06678452170496955,0.1517586145331191
0.007012048192771085,0.034550036582391676,1.0,0.0667923935250668,142512.0,5100,142512,0,23,0.04281770738882508,0.0667923935250668,0.15177487322334118
0.009016064257028111,0.03455869896662714,1.0,0.06680858031766825,142475.0,5100,142475,0,60,0.042828350688612696,0.06680858031766825,0.151808304807263
0.011020080321285139,0.034565491439957706,1.0,0.0668212727487127,142446.0,5100,142446,0,89,0.04283669643397101,0.0668212727487127,0.1518345182380051
0.01302409638554217,0.03456994312905434,1.0,0.0668295910946294,142427.0,5100,142427,0,108,0.04284216609991801,0.0668295910946294,0.15185169746377888
0.015028112449799198,0.03457627118644068,1.0,0.06684141546526869,142400.0,5100,142400,0,135,0.04284994118635524,0.06684141546526869,0.15187611673615248
0.017032128514056225,0.03457697444693791,1.0,0.06684272954252049,142397.0,5100,142397,0,138,0.04285080525905413,0.06684272954252049,0.15187883047344505
0.019036144578313253,0.03457884994813173,1.0,0.06684623400114033,142389.0,5100,142389,0,146,0.04285310962329596,0.06684623400114033,0.15188606758036563
0.02104016064257028,0.034579318855221135,1.0,0.06684711017321265,142387.0,5100,142387,0,148,0.0428536857530821,0.06684711017321265,0.15188787696486325
0.023044176706827308,0.03457955331353484,1.0,0.06684754826786206,142386.0,5100,142386,0,149,0.04285397382378446,0.06684754826786206,0.1518887816732783
0.02504819277108434,0.0345821325648415,1.0,0.06685236768802229,142375.0,5100,142375,0,160,0.042857142857142864,0.06685236768802229,0.1518987341772152
0.027052208835341367,0.03458635398794225,1.0,0.06686025551105489,142357.0,5100,142357,0,178,0.042862329559207164,0.06686025551105489,0.15191502290640246
0.029056224899598394,0.034586588541666664,1.0,0.06686069377802249,142356.0,5100,142356,0,179,0.04286261774613227,0.06686069377802249,0.15191592793823275
0.031060240963855422,0.034586823098572445,1.0,0.0668611320507358,142355.0,5100,142355,0,180,0.0428629059369327,0.0668611320507358,0.15191683298084657
0.03306425702811245,0.034589403434524296,1.0,0.0668659534298301,142344.0,5100,142344,0,191,0.042866076291529664,0.0668659534298301,0.15192678916136412
0.03506827309236948,0.03459832028547006,1.0,0.06688261445451325,142306.0,5100,142306,0,229,0.04287703203502801,0.06688261445451325,0.15196119328271931
0.037072289156626505,0.03459832028547006,1.0,0.06688261445451325,142306.0,5100,142306,0,229,0.04287703203502801,0.06688261445451325,0.15196119328271931
0.03907630522088353,0.03459832028547006,1.0,0.06688261445451325,142306.0,5100,142306,0,229,0.04287703203502801,0.06688261445451325,0.15196119328271931
0.04108032128514056,0.03459832028547006,1.0,0.06688261445451325,142306.0,5100,142306,0,229,0.04287703203502801,0.06688261445451325,0.15196119328271931
0.04308433734939759,0.03459832028547006,1.0,0.06688261445451325,142306.0,5100,142306,0,229,0.04287703203502801,0.06688261445451325,0.15196119328271931
0.045088353413654615,0.03459855500152641,1.0,0.06688305301465526,142305.0,5100,142305,0,230,0.042877320419693304,0.06688305301465526,0.15196209886475373
0.04709236947791164,0.03460090233725703,1.0,0.066887438932424,142295.0,5100,142295,0,240,0.04288020447972019,0.066887438932424,0.1519711552787628
0.04909638554216868,0.0346102948661396,1.0,0.06690498835722017,142255.0,5100,142255,0,280,0.042891744600686274,0.06690498835722017,0.1520073917319901
0.051100401606425705,0.03461099951137413,1.0,0.06690630493532392,142252.0,5100,142252,0,283,0.04289261036016337,0.06690630493532392,0.15201011016262103
0.05310441767068273,0.03461311361924218,1.0,0.0669102549805501,142243.0,5100,142243,0,292,0.042895207848309094,0.0669102549805501,0.1520182660379271
0.05510843373493976,0.034614523167975454,1.0,0.06691288860316064,142237.0,5100,142237,0,298,0.04289693968185611,0.06691288860316064,0.15202370377436103
0.05711244979919679,0.034614523167975454,1.0,0.06691288860316064,142237.0,5100,142237,0,298,0.04289693968185611,0.06691288860316064,0.15202370377436103
0.059116465863453815,0.034620867558210575,1.0,0.06692474247096647,142210.0,5100,142210,0,325,0.042904734663660536,0.06692474247096647,0.15204817840319598
0.06112048192771084,0.034630976389822564,1.0,0.06694362952607848,142167.0,5100,142167,0,368,0.04291715474411278,0.06694362952607848,0.1520871727889209
0.06312449799196787,0.03463121154916953,1.0,0.06694406888675951,142166.0,5100,142166,0,369,0.042917443668751394,0.06694406888675951,0.152088079873081
0.0651285140562249,0.03463121154916953,1.0,0.06694406888675951,142166.0,5100,142166,0,369,0.042917443668751394,0.06694406888675951,0.152088079873081
0.06713253012048193,0.03463121154916953,1.0,0.06694406888675951,142166.0,5100,142166,0,369,0.042917443668751394,0.06694406888675951,0.152088079873081
0.06913654618473895,0.03463121154916953,1.0,0.06694406888675951,142166.0,5100,142166,0,369,0.042917443668751394,0.06694406888675951,0.152088079873081
0.07114056224899598,0.03463144671171018,1.0,0.06694450825320776,142165.0,5100,142165,0,370,0.04291773259728019,0.06694450825320776,0.15208898696806128
0.07314457831325301,0.03463826781493656,1.0,0.06695725238945488,142136.0,5100,142136,0,399,0.042926113217202765,0.06695725238945488,0.15211529743014626
0.07514859437751004,0.03465097634221576,1.0,0.06698099578413733,142082.0,5100,142082,0,453,0.04294172723414861,0.06698099578413733,0.152164313589765
0.07715261044176706,0.0346917535661082,1.0,0.06705717610397807,141909.0,5100,141909,0,626,0.042991826495104,0.06705717610397807,0.1523215597727721
0.07915662650602409,0.03478361711416721,0.9998039215686274,0.06722833109194948,141494.0,5099,141493,1,1042,0.043104614281753204,0.06722833109194948,0.15267198428667242
0.08116064257028112,0.034799522265824945,0.9998039215686274,0.06725803792250618,141427.0,5099,141426,1,1109,0.043124154262516916,0.06725803792250618,0.1527332634416654
0.08316465863453815,0.03480142236054519,0.9998039215686274,0.067261586761379,141419.0,5099,141418,1,1117,0.04312648857854281,0.067261586761379,0.15274058364336765
0.08516867469879517,0.034802134949561137,0.9998039215686274,0.06726291767251047,141416.0,5099,141415,1,1120,0.0431273640122066,0.06726291767251047,0.15274332889991254
0.0871726907630522,0.034802134949561137,0.9998039215686274,0.06726291767251047,141416.0,5099,141415,1,1120,0.0431273640122066,0.06726291767251047,0.15274332889991254
0.08917670682730923,0.034805460750853244,0.9998039215686274,0.06726912928759896,141402.0,5099,141401,1,1134,0.0431314498392827,0.06726912928759896,0.15275614140203717
0.09118072289156626,0.03480759910165129,0.9998039215686274,0.06727312307458885,141393.0,5099,141392,1,1143,0.04313407685123776,0.06727312307458885,0.15276437914566993
0.09318473895582328,0.034807836712403575,0.9998039215686274,0.06727356685797214,141392.0,5099,141391,1,1144,0.04313436876120867,0.06727356685797214,0.1527652945053628
